REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14RCH,ACW,ACH
19754,30.67498,5.1218,12,3.80000000000,0.40000000000
19755,30.58485,5.1188,12,3.80000000000,0.40000000000
19756,29.82292,5.1051,12,3.80000000000,0.40000000000
19757,30.85586,5.0831,12,3.80000000000,0.40000000000
19758,30.59786,5.0729,12,3.80000000000,0.40000000000
19759,30.60847,5.0680,12,3.80000000000,0.40000000000
19760,29.26120,5.0421,12,3.80000000000,0.40000000000
19761,30.73952,5.0387,12,3.80000000000,0.40000000000
19762,29.73064,5.0332,12,3.80000000000,0.40000000000
19763,29.85462,5.0312,12,3.80000000000,0.40000000000
19764,29.08008,5.0223,12,3.80000000000,0.40000000000
19765,29.20617,5.0162,12,3.80000000000,0.40000000000
19766,30.21513,4.9805,12,3.80000000000,0.40000000000
19767,29.78179,4.9756,12,3.80000000000,0.40000000000
19768,29.69001,4.9724,12,3.80000000000,0.40000000000
19769,30.57187,4.9640,12,3.80000000000,0.40000000000
19770,29.04150,4.9618,12,3.80000000000,0.40000000000
19771,29.25240,4.9493,12,3.80000000000,0.40000000000
19772,30.09262,4.7495,12,3.80000000000,0.40000000000
19773,30.84505,4.7447,12,3.80000000000,0.40000000000
19774,29.71723,4.7395,12,3.80000000000,0.40000000000
19775,31.29902,4.7330,12,3.80000000000,0.40000000000
19776,30.57289,4.7270,12,3.80000000000,0.40000000000
19777,31.34372,4.7242,12,3.80000000000,0.40000000000
19778,29.36572,4.6237,12,3.80000000000,0.40000000000
19779,30.04011,4.6196,12,3.80000000000,0.40000000000
19780,29.99987,4.6164,12,3.80000000000,0.40000000000
19781,30.89646,4.6127,12,3.80000000000,0.40000000000
19782,29.41207,4.6099,12,3.80000000000,0.40000000000
19783,29.26299,4.5982,12,3.80000000000,0.40000000000
19784,29.78255,4.5948,12,3.80000000000,0.40000000000
19785,29.79998,4.5895,12,3.80000000000,0.40000000000
19786,30.63349,4.5816,12,3.80000000000,0.40000000000
19787,30.78038,4.5680,12,3.80000000000,0.40000000000
19788,30.60108,4.5509,12,3.80000000000,0.40000000000
19789,30.84956,4.5447,12,3.80000000000,0.40000000000
19790,29.05736,4.5358,12,3.80000000000,0.40000000000
19791,30.91930,4.5319,12,3.80000000000,0.40000000000
19792,30.24967,4.4191,12,3.80000000000,0.40000000000
19793,30.84276,4.4054,12,3.80000000000,0.40000000000
19794,30.94180,4.3860,12,3.80000000000,0.40000000000
19795,29.21548,4.3752,12,3.80000000000,0.40000000000
19796,29.29040,4.3721,12,3.80000000000,0.40000000000
19797,30.72143,4.3568,12,3.80000000000,0.40000000000
19798,31.00682,4.3448,12,3.80000000000,0.40000000000
19799,30.84453,4.3256,12,3.80000000000,0.40000000000
19800,30.06504,4.3106,12,3.80000000000,0.40000000000
19801,29.22637,4.2867,12,3.80000000000,0.40000000000
19802,29.47852,4.2546,12,3.80000000000,0.40000000000
19803,30.01297,4.2205,12,3.80000000000,0.40000000000
19804,30.23530,4.1804,12,3.80000000000,0.40000000000
19805,29.99077,4.1564,12,3.80000000000,0.40000000000
19806,29.56473,4.0987,12,3.80000000000,0.40000000000
19807,29.83997,4.0807,12,3.80000000000,0.40000000000
19808,30.10762,4.0589,12,3.80000000000,0.40000000000
19809,31.04370,4.0068,12,3.80000000000,0.40000000000
19810,30.31395,4.0036,12,3.80000000000,0.40000000000
19811,30.06704,3.9807,12,3.80000000000,0.40000000000
19812,30.32285,3.9634,12,3.80000000000,0.40000000000
19813,31.05647,3.9484,12,3.80000000000,0.40000000000
19814,30.09690,3.9157,12,3.80000000000,0.40000000000
19815,30.27092,3.8995,12,3.80000000000,0.40000000000
19816,29.41031,3.8725,12,3.80000000000,0.40000000000
19817,30.61847,3.8554,12,3.80000000000,0.40000000000
19818,30.95828,3.8299,12,3.80000000000,0.40000000000
19819,30.37775,3.7924,12,3.80000000000,0.40000000000
19820,29.14892,3.7845,12,3.80000000000,0.40000000000
19821,29.62079,3.7541,12,3.80000000000,0.40000000000
19822,30.06272,3.7413,12,3.80000000000,0.40000000000
19823,29.69525,3.7037,12,3.80000000000,0.40000000000
19824,29.44182,3.6771,12,3.80000000000,0.40000000000
19825,29.18984,3.6474,12,3.80000000000,0.40000000000
19826,30.89285,3.6328,12,3.80000000000,0.40000000000
19827,29.63722,3.5913,12,3.80000000000,0.40000000000
19828,30.49879,3.5654,12,3.80000000000,0.40000000000
19829,28.96434,3.5297,12,3.80000000000,0.40000000000
19830,29.68187,3.4822,12,3.80000000000,0.40000000000
19831,29.81841,3.4688,12,3.80000000000,0.40000000000
19832,29.94264,3.4151,12,3.80000000000,0.40000000000
19833,30.17414,3.3698,12,3.80000000000,0.40000000000
19834,30.11326,3.3576,12,3.80000000000,0.40000000000
19835,29.11170,3.3009,12,3.80000000000,0.40000000000
19836,29.11039,3.2844,12,3.80000000000,0.40000000000
19837,29.26573,3.2766,12,3.80000000000,0.40000000000
19838,31.06732,3.2528,12,3.80000000000,0.40000000000
19839,30.94784,3.2420,12,3.80000000000,0.40000000000
19840,30.29530,3.2279,12,3.80000000000,0.40000000000
19841,30.27809,3.1659,12,3.80000000000,0.40000000000
19842,30.93661,3.1655,12,3.80000000000,0.40000000000
19843,30.82639,3.1373,12,3.80000000000,0.40000000000
19844,29.66287,3.1302,12,3.80000000000,0.40000000000
19845,30.49032,3.1194,12,3.80000000000,0.40000000000
19846,29.98622,3.1042,12,3.80000000000,0.40000000000
